61 회 ㅣ 2007-02-02교감	어이구 서선생 벌써 퇴근준비하는거야? 30분이나 남았는데?
미려	(손 놓으며) 왔어?
민정	너 왠일이야?
윤호	선생님이 부르셨잖아요.
민정	내가 언제?
윤호	문자 보내셨잖아요 아까. 할말 있다고 오라고.
민정	내가?
미려	(웃으며) 내가 보냈지 내가 보냈지~~~
미려	속았지 속았지~~~ 하하하하하~ 으이그 으이그 또열 받았구나~얼굴 빨개지는 거 봐 쟤~ 으이구 귀엽다 임마~
윤호	어이가 없어서 진짜.
윤호	어? 뭐예요?
미려	야 누나 지하철역까지 좀 태워주라~
윤호	아 싫어요 내리세요~
미려	자식이 튕기기는. 우후~ 달려달려~~
윤호	하...
미려	더 세게 밟으면 안되겠니?
윤호	위험해요.
미려	위험해도 좋아 더 쎄게~ (하면서 허리를 꽉 껴안는)
윤호	아 숨막혀요 좀 살살 잡아요.
미려	으이그 으이그.. (하며 웃으며 등에 얼굴을 부비는)
윤호	(표정) 저 역에 세워드리면 되죠?
미려	나 4호선 타야돼. 동작역까지 부탁해~~
문희	민용이가 계속 전화를 안 받네요. 지루하시죠?
교감	지루하긴요. 지루할 게 뭐 있겠습니까 남는게 시간인제가 바쁜 이선생 기다리는게 당연하지요.
문희	(웃으며) 정말 고맙습니다. 정말 저희 민용이를 아껴주시나봐요.
순재	심심하시죠? 바둑 한판 두시죠.
교감	바둑이요?
순재	예전에 민용이한테 얼핏 들은 거 같아서. 바둑 좋아하신다고.
교감	저 3급밖에 못두는데요.
순재	잘 됐네요. 저두 3급입니다. 그럼 내기할까요? 돈이라도 조금 걸고..
교감	뭐 그러시던지요.
교감	(이긴 듯) 아이구 이거 두시던 분 어디 가셨나?
순재	잠시만..
교감	아니요 천천히 하세요. 재촉하는 게 아닙니다.뭐 저야 남는 게 시간인 사람인데요 뭐.
순재	네 그럼. (다시 계속 보는)
교감	(표정) 저 화장실 좀..
교감	하 나 원...이 집 식구들은 어째 사람 말귀를 못 알아들어? 누가 이민용이 식구들 아니랄까봐..눈치가 빨라요 아주 너무빨라~ (신경질난)
교감	어 잠깐 뭐하는 겁니까?
순재	에? 아 장난으로 그냥 하하..(비굴하게 웃는)
교감	야..참 대단하시네요. 아니 그렇게 이기고 싶으셨으면 차라리 한수 물러달라고 그러시지~~
순재	(반색하며) 아 한수 물러주시겠습니까?
교감	네?
순재	아유 고맙게 참.. (하고 돌 도로 주며) 그럼 하나만 물르겠습니다.
민호	(하품하다 교감 보고 놀라는) 어...
교감	(열 잔뜩 올라) 참 승부욕 대단하시네요 내긴데 물러서라도 이기실라 그러고. 참 보기 좋습니다. 이선생이 아버님을 똑닮았구만요 야...
순재	네. 그놈이 절 닮아서 승부근성이 있지요. 하하. (웃으며 두는) 자. 두시죠.
교감	저기 저...혹시 보청기 끼셨나요?
순재	네?
교감	아니 연세도 있으신데 말을 하두 잘 알아들으시길래말이죠..
순재	보청기라뇨~ 제가 귀가 원체 밝습니다. 하하.
민용	여보세요? 어 민호야 지금 집에 들어가는 길인데. 왜?
민호	삼촌 교감선생님이 오셨는데 빨리 오는게 좋겠어.
민용	교감선선생님이 왜 오셔?
민호	삼촌 만나러 오셨다는데.
민용	어? (표정) 하 씨...
민호	근데 있지 교감선생님 지금 되게 열 받으신 표정인데.
민용	왜?
민호	우리집 식구들이 지금 교감선생님 어법을 전혀 파악을 못하고 있어.
민용	어?
민호	있잖아 반어법. 그걸 하나도 못 알아듣고 계시다니까.
민용	뭔 상황인지 알겠다. 지금 간다. (전화 끊고 급하게 택시 잡는)
문희	아유 손님이 오실 줄 알았으면 미리 좀 장을 보는건데..찬이 없어서 어떡해요.
교감	어이구 무슨 말씀을요. 상다리가 휘어질 정도로 진수성찬인데.먹을 게 너무 많아서 뭐부터 집어야 할지를 모르겠네요 이거 참~
문희       (웃으며) 아유 많이 드세요~ 호호
해미	서방님을 굉장히 이뻐하신다면서요?서방님이 학교에서 그렇게 일을 잘하시나요?
교감	오죽 잘하면 제가 여기까지 왔겠습니까. 어찌나 성실하고 정직하..
해미	(OL) 야~ 그래요? 전 몰랐네요 서방님이 그렇게 인정받으시는지~
교감          예 어찌나 성실하고 정직한지 제가 이사장..
해미          (OL) 참 아버님 아까 한의학협회 공문 받으셨죠?
순재          어 그래. 받았어.
교감	(표정. 점점 열 받아 반찬을 하나 집으려는데 준하 젓가락과 부딪치는)
준하	어구 드세요.
교감	아니예요 이선생 형님이 참 잘 드시게 생겼는데 먼저드셔야죠..
준하	(웃으며) 네. 제가 좀 잘 먹습니다. 그럼. (낼름 집어먹는)
순재	아 저녁 드시고 바둑 한판 더 두시죠?
교감	또 한수 물러달라 그러실바에 차라리 두어점 깔고 하시죠 왜.
순재	아유 그래주시면 좋죠. 그럼 석점깔고 내기 한번 더 할까요?
해미	커피 타는데 미리 다 타놓을까요? 디저트로.
문희	그래라. 얘 교감선생님은 소금 타 드시는거 좋아하시더라. 소금 한 스푼 넣어라.
해미	커피에 소금을 넣어 드세요? 오 특이하시네~
교감	(표정. 신경질나 반찬 집는데 준하와 또 부딪치고)	드세요 드세요 많이 드세요.
준하	네. (덥석 먹는)
민정	누구세요~ (문을 여는)
미려	민정아~~~나 또 왔어~~~
민정	어머 미려야 너 왜 술을 이렇게 마셨어?
미려	어? 어~~하하~~(허탈하게 웃는)
신지	어머 또 오셨네요..?
민정	야 너 출국준비 하느라 바쁘지 않아? 왜 이렇게 우리집에 자주..
미려	민정아..윤호 왔니?
민정          윤호? 아니. 걔 자기집에 있겠지. 근데 윤호는 왜?
미려          씨..민정아 나 미치겠어..(괴로와하는)
민정	어? 왜?
미려	민정아..나 어떡해..(울며) 나 윤호 걔 좋아하나봐...
미려          (울며) 어떡해..나 걔 정말 좋아하나봐..어떡해..하루종일 걔 생각만나고 잠도 안 와..미치겠어..나 어떡해..엉엉..
미려          윤호 좀 불러줘 윤호..윤호 좀 불러줘~~~~(우는)
미려	(OFF) 윤호야. 미려 누나야. 놀랐지? 하하.	우리 서로 아직 잘은 모르지만 나..너한테 고백할 게있단다.
미려	(OFF) 누나는 널 처음 본 순간, 27년간 꿈에도 그리던이상형을 드디어 찾았다는 생각에 온몸으로 전율했단다.
미려	(OFF) 하지만..넌 정말이지 너무 어리더구나. 아직 고등학교 1학년이라니..
미려	(OFF) 하지만 그래도 니가 너무 좋아..니가 너무 좋아서..장난을 가장해얼굴도 만져보고 그랬던 거야. 이해해줘 윤호야.
미려	(OFF) 윤호야. 누나에겐 니 허리를 감고 오토바이를탔던 그 순간이아마 한국에서의 가장 아름다운 추억으로 남을 것 같아.
미려	(OFF) 윤호야..누나는 윤호를 영원히 잊지 못할꺼야.지금 그대로 그렇게 이쁘게 커다오.
미려	(OFF) 안녕. 미려누나가.
윤호	아씨 뭐야...(닭살인 듯 몸을 긁으며 침대에 벌렁 눕는)
민용	아 교감선생님.
민용	하..어쩐 일로 저희 집엘...
교감	야 이선생 정말 정신력 하나 끝내주네요.위경련에도 아랑곳않고 종일 싸돌아다니고..정말 정신력 최고야 최고.
민용	아 그게..저기..어떻게 된거냐면요..
교감	그리고 말이야, 가족분들 말이야.. 야.. 정말...
민용	네?
교감	누가 이선생 식구들 아니랄까봐 정말이지..(민용 얼굴에 대고 엄지손가락을 쳐들며) 굿 굿 굿 굿굿 굿이예요~~~
문희	(신나서) 야 야 우리가 대접해서 너 오늘 점수 더 딴거 맞지?
민용	에?
문희	지금 베란다에서 보니까 우리 얘기 하면서 너한테 굿을 여섯번을 하던데~	(흉내내며) 굿굿굿굿굿굿~ 이랬잖아~ 아유 너무 잘됐다 야~
민용	하...(어이없어 힘없이 웃으며 가는)
교감	보고서를 하나 써도 얼마나 완벽한지 말이야 세상에이렇게 완벽한 교사가 존재할 수가 있는거예요? 왜 이렇게 사람이완벽해? 이선생 수퍼맨이야?
민용	....
교감	수퍼맨이 왜 여기서 체육선생을 하고 있어? 지구를 지켜야지? 세상에 이렇게 완벽한 사람이 어떻게 존재할 수가 있는거야? 다시 해오세요.
윤호	선생님..
민정	어 윤호야. (후다닥 데리고 나가는)
윤호	네?
민정	너한테 이런 부탁하는거 너무 미안한데.. 눈 딱 감고한번만 좀..
윤호	아 싫어요~ 제가 그 누나 배웅하러 공항까지 왜 가요~!!
민정	한번만..정말 널 너무 좋아한다는데..어떡하니.. 오늘아침까지도 울더라. 너 답장 없다고.
윤호	제가 답장을 왜 해요!
민정	이해는 하는데..인사만 한번 해주면 정말 기분 좋게 떠날꺼야. 응? 응?
윤호	하 정말...
민정	(윤호 손잡고 흔들며) 윤호야.. 선생님 봐서 한번만 도와주라.. 응?
윤호	하...(표정)
민정	(OFF) 미려야~~
민정	윤호가 너 간다고 배웅하고 싶다 그래서 데리고 왔어.
윤호	(내키지 않는) 안녕하세요.
미려	윤호야.. (감동해서 손을 덥썩 잡는)
민정	(윤호 찌르는)
윤호	파리 잘 가시구요 가서 공부 열심히 하세요.
미려	그래 그래. 아우..참..(눈물 글썽이며) 한번만 안아봐도 될까? (덥썩 안는)
미려	(안은채) 윤호야 너 망가지면 안돼. 계속 이 상태로 잘커야 돼. 알았지?
윤호	에..
미려	누나 3년 있다 올꺼거든. 3년 후면 너 대학생 되는 거지?	(눈물 찔끔 짜며) 우리 그때 다시 멋지게 재회하자 응?
윤호	..에....
민정	얼른 들어가 미려야 늦겠다.
미려	그래. 윤호야, 안녕~~ (손을 멋지게 흔든다)
민정	고생했다~ 선생님이 밥 사줄께.
윤호	저 약속 늦었어요. 먼저 갈께요.
민정	윤호야. (손잡고) 너무 미안해 정말~
윤호	됐어요.
민정	하..정말 선생님이 더 민망하고 부끄럽네.10살이나 많은 애가 웬 주책인지. 너 너무 싫었지 진짜?
윤호	(덤덤하게) 10살 많은 게 싫은게 아니라 그냥 그 누나가 싫은거 뿐인데요.
민정	어?
윤호	나이가 무슨 문제예요. (하고 헬멧 쓰고 가버리는)
민정	어?
