82 회 ㅣ 2007-03-07
학생들	안녕하세요.
여선생	(교재 들고 급히 나가는) 이선생님한테 받으세요.
민정	네? 네
민용	(책을 찾아 내미는) 여기요.
민정	(가져가려는데)
민용	아 참. (하고 책에 손을 내밀어 잡다가 책 든 민정 손을 일부 잡는)
민정	(표정)
민용	(얼른 떼고) 아, 미안해요. (하고 책 사이에 낀 종이 한장을 빼는) 메모 적어논게 있어서. (하고 자리에 앉는다)
민정	(좀 섭섭한 표정)
교감	이선생. 육상부 코치 부임날짜가 언제예요? 내일이던가?
민용	벌써 훈련 시작했는데요.
교감	에?
민용	아침부터 훈련하고 있던데요.
교감	에~? (하다) 아 인사도 안하고 훈련부터 시작하나?좀 불러와요.. (하는데)
오중	안녕하세요!! 교감선생님!!
교감	아 권코치 오랜만이예요. 근데 왜 벌써 나와서..
오중	내일까지 기다리기 너무 답답해서 훈련 시작했습니다!
교감	아.. 참 참. 그 느긋한 성격을 내가 잠깐 잊고 있었네.자, 그럼 소개를 일단..이 분은..
오중	(선생들 모두 쳐다보는데 급하게 교감 옆에 와서 인사하며) 안녕하세요 풍파중학교에서 이번에 발령받아 온 육상부 코치 권오중입니다!
오중	안녕하세요 권오중입니다. 안녕하세요 권오중입니다.안녕하세요 권오중입니다. 안녕하세요 권오중입.. (하고 민정과 악수하다가 갑자기 놀랜 듯 보는)
민정	안녕하세요.
오중	와우 인상 참 좋으시네요!
민정	네?
오중	저 지금 반한 거 같은데요! 아니 반했습니다! 설마 결혼은 안하셨죠?
민정	(당황해서) 네..?
교감	이봐 권코치 그렇게 갑작스럽게 그럼..
오중	저는 신체건강한 34살 총각입니다! A형 3남2녀 중 둘째.부모님 모두 생존해시구요 (어느새 그 사이에 민정 노트 같은 거 들어보며) 서민정 선생님, 영어 담당이시네요?
교감	거 사람 참 하나도 안 변했구만. 어째 성격이 그렇게느긋해? 어?
오중	저 변했는데요? 되게 차분해졌다고들 하던데?
선생들	(표정)민용	(표정)
민정	(표정)
준하	아...아...아버지..!! 아버지 아버지!! (뛰어나간다)
준하	아버지 아버지!!!!
문희	왜 그래?해미	왜 그래?
순재	이게 왜 숨이 넘어가게 불러? 또 뭐가 법정관리 들어갔냐?
준하	아버지! 나와 보세요!! (순재 손을 잡고 끌고 가는)
순재	야 왜 이래?
준하	보세요 보시라구요!!
준하	제가 뭐랬어요 아버지! 대박났잖아요 대박!!
순재	(표정)
준하	발표나자마자 상한가 빡 때렸잖아요! 아버지 오늘 오전에 아버지 돈 얼마 버신지 아세요? 한방에 지난 몇달간 손해 싹다 만회했어요! 제가 뭐랬어요! 확실하댔죠? (순재 손을 잡는)
순재	햐...어떻게 진짜.. (준하가 잡은 손을 잡고 좋아하는)
준하	이번엔 확실하다 그랬잖아요. 정보가 틀림없었는데!상한가 칠 줄 알았어요! 창동물산은 오늘 500원이나 떨어졌어요.
순재	아이구 이 눔의 자식 이거!! (준하 등 두드려주며 좋아하는) 야..
해미	어머 뭐 대박 난거야 드디어?
문희	돈 많이 번거야?
준하	많이 벌었죠. 엄청 벌었어요 엄마!근데 더 중요한 건 말이죠, 내일이면 더 오를꺼라는거!
순재	에이 뭐 또 오르겠냐..? 한번 상한가 쳤으면..
준하	아버지 걱정마세요! 일주일은 그냥 내리 상한가칩니다! 절 믿으시라니까요!
순재	하...(입 찢어지면서 티비 보는)
문희	어이구 니 아버지 입 찢어진다.
해미	축하드려요 아버님~
순재	아직 팔지도 않았는데 축하는.. (손 내저으면서도 웃는다)
윤호	잘 먹을께요~
민정	(어이없는 듯 웃으며) 넌 타이밍은 기가 막히게 잘 맞추는구나.
윤호	선생님 점심식사 후에 항상 여기서 커피 뽑잖아요.
민정	(다시 뽑으며) 잘 아네.
윤호	근데 선생님..이상한 소문이 들리던데. (감시하듯 떠보는)
민정	무슨 소문?
윤호	(귀 후비며) 새로 온 육상부 코치가 선생님 쫓아다닌다나 뭐라나..
민정	뭐야 아니야. 누가 그런 헛소문을..
윤호	소문 쫙 났던데요. (하고) 삼촌이 뭐라고 안 그래요?가만 있어요?
민정	어? (당황) 아니 뭐... 글쎄..
윤호	뭐야..애인이 질투도 안하나..차.. 차버리세요 그런 애인.
민정	(표정)
오중	(OFF) 서선생님!!
오중	점심 드셨습니까?!!
민정	아..네..(어색하게 웃는데)
오중	(윤호를 밀치다시피 하며) 커피 드세요? 저두 마셔야겠네!
윤호	(기분나쁘게 보며 가는)
오중	(주머니에서 동전 급하게 꺼내 버튼 누르는)점심많이 드셨어요?
민정	네..점심 드셨어요..?
오중	그럼요 (하며 커피 다 나오기도 전에 커피잔을 뽑는다)
민정	어 아직 다 안나온 거 같은데..
오중	(듣지도 않고 원샷을 하다가 뜨거워서) 앗 뜨 앗 뜨...(켁켁거리는)
민정	어머 데셨어요?
오중	괜찮습니다. (원샷하듯 다 마셔버리고는 종이컵을 휴지통에 홱 던지는)
민정	(표정)
오중	그런데 서선생님. 데이트 한번 허락해 주시죠?
민정	네? 아니..무슨..자꾸 장난하지 마세요.
오중	장난이라뇨?
민정	절 언제 보셨다고 갑자기 반했다 그러시고 막 학교에소문나게 그러시면..
오중	시간이 오래 걸려야만 사랑인가요? 전 그렇게 생각안하는데요.
학생	코치님 다 모였는데요!
오중	간다! (뛰어가며) 잘 생각해보세요! 전 진심입니다!! 대답 기다리고 있겠습니다! (하더니 오중, 급하게 뛰어가며 학생 빨리 뛰라고 엉덩이를 마구 찌른다) 빨리 빨리 빨리 빨리!!!
민정	하.. (표정)
순재	(OFF) 준하야!!!
준하	(입 벌어지며) 아버지!!
순재	또 올랐지 또!!
준하	상한가 상한가!!
문희	(놀라서 깨고) 아이구 깜짝야..
준하	아버지 아버지 아버지~~ (순재를 안고 마구 돌린다)
순재	그래 그래~ 하하하하~~~ (주먹을 하나 들고 좋아하는)
해미	또 올랐어? 이번엔 얼마나 오른 건데?
준하	당신은 상상도 못할껄?
순재	작년에 손해 본거 한번에 다 만회했다 만회했어!!
준하	내일부턴 이제 순이익이예요 아버지!!!
순재	내일도 기대해도 되냐?!!
준하	당연하죠! 아버지!! 제 말 듣기 잘하셨죠? 그쵸?
순재	아이구 아이구 기특한 놈!!
문희	되게 좋아하네.
해미	하..참 간만에 보는 풍경이네요. (웃는)
문희	이거 진짜 사진이라도 찍어놔야 되는거 아니냐? 부자가 저렇게 다정한 걸 언제 또 구경하겠어?
남선생	어 이선생. 라면 먹을래요? 지금 물 끓였는데.
민용	좋죠.
남선생	(자기 라면 뚜껑 닫으면서) 점심 먹은지 얼마 되지도않았는데 왜 이렇게 출출해. 식당 밥이 점점 부실해지지 않아요?
민용	(라면 뜯으며) 원래 부실했잖아요. (하다 오중 보고 표정)
오중	(라면을 이미 먹고 있다. 풀어지지도 않은 면을 덩어리째 씹어먹는)
민용	그거..익지도 않은 걸 왜.
오중	에? 아 대충 익었어요. (막 먹는)
남선생	야 권코치님 진짜 성격 급하신가 보네.
오중	네 제가 원래 답답한 걸 못 참는 성격이라서요.제가 원래 날때두 일곱달만에 나왔습니다.
남선생	네?
오중	지금은 그래도 많이 사람된거죠. 하두 심해서 정신과상담도 받고 그랬어요.
민용	어느 정도셨길래..
오중	제가 예전에는 성질이 너무 급해서 바지 지퍼 열기도전에 오줌 갈겨서 맨날 바지 적시고 똥도 다 누기 전에 엉덩이 닦다가 손에 묻은 적도 있구요 하하하.
민용	(표정)
오중	정신과 선생님이 종교를 가지라 그래서 불경도 열심히 읽고 느긋해질려구 아주 별짓을 다 했습니다. 지금 엄청 좋아진거예요.(하고는 덩어리를 다 넘기고 뜨거운 국물을 마구 들이키며 가슴 두드리는) 아 뜨거 아 뜨거~~ (하다 창밖으로 민정이지나가자) 어 서선생님! 서선생님! (뛰어가다 넘어지는데 구르며바로 오뚜기처럼 일어난다)
민용	(표정)
오중	(문을 열려는데 문이 고장났는지 약간만 열리고 안 열리는) 아 씨 이게 왜 이래?
남선생	그 문이 자꾸 말썽이네. 같이 열어요. (일어나는데)
오중	씨.. (좁은 틈으로 마구 몸을 쑤셔넣는)
남선생	어허. 다치겠어요..
오중	(미친듯이 쑤셔넣어 간신히 튕기듯 나가버리는)
민용	(표정)
남선생	거 성질 진짜 급하네. (라면 뚜껑 열어보며) 난 아직두다 안 익었는데.
민용	정신과 한참 더 다녀야되겠는데. (혀 차는)
순재	(OFF) 준하야!!
준하	(뛰어나가간다) 아버지!!!
문희	또 올랐어 또?
해미	설마 또 상한가야?
해미	어머 진짜 왠일이야? 정말 완전 대박났네.
문희	어이구 세상에. 3일 연속 상한가면 도대체 얼마를 번거야?
순재	우리가 얼마를 사놨는지만 말해줄까? 50000주 50000주!!!!
해미	오만주면 뭐 얼마나..
순재	준하야!!! 내 아들아!!!
준하	아버지!!!
순재	이 자식이.. 이 자식이 이럴 줄 알았어. 내가 언제 한번 크게 한건 할 줄 알았어 이 자식..!! (눈물까지 글썽이는)
준하	(눈물 글썽이며) 다 아버지가 믿어주신 덕분이죠.
순재	야 너 뭐 먹고 싶어, 뭐든 사주마! 고기 먹을래? 고기?
준하	고기 좋죠!!
순재	이봐 점심은 고기야! 고기 사와 고기!! 최상급 한우갈비로!!
준하	갈비 좋지요!!
순재	이 신통방통한 놈!!
준하	하하하하!! 아버지!! (안고 뒹구는)
문희	야 좋은 구경이다. 사진 찍어라 얼른.
해미	네. (웃으며 테이블 밑에서 카메라 들어 사진 찍는)
오중	서선생님.
오중	회식 가시는 거죠? 몇층이죠?
여선생	10층일껄요.
오중	(엘리베이터 버튼 누르는) 생각 해보셨어요?
민정	네? 아 권코치님..
오중	빨리 빨리 생각하시지? 되게 오래 걸리시네?(하면서 답답한지 버튼을 계속 누르는)
민정	(표정) 그거 한번만 누르시면 되는데 왜..
오중          (계속 따다다 누르며) 버릇이죠 뭐. 그냥 있긴 뭐하잖아요 (하다) 왜 이렇게 안 내려와. 아 씨. 먼저 올라갈께요! (비상구로 뛰어간다)
여선생	10층을 계단으로 가시게요?
오중	답답해서요~
여선생	(표정)민정	(표정)
민정	그거 하나도 안 익었는데..
오중	괜찮아요 괜찮아. (하며 벌건 고기를 막 입에 넣는)
교감	이봐 권코치, 그거 쇠고기도 아니고 돼지고기를 그렇게 막 먹으면 병 걸려.기생충 생기면 어떡할려 그러나?
오중	가끔 기생충약 한번씩 먹어주면 됩니다.
민정	(표정)
교감	쯧쯧쯧. 사람이 어쩜 저렇게 갈수록 느긋한지 원. 아주 굿이야 굿굿.
오중	근데 어떻게 결정을 좀 하시죠? 서선생님 생각을 너무오래 하신다..
민정	아니 저기..
오중	된장은 왜 안나와? 이봐요 된장줘요 빨리 빨리!
점원	고기 다 드시면 밥하고 같이..
오중	에에에에~ 답답하게 무슨. 한꺼번에 전부 같이 내와요 같이! 빨리 빨리!! 요구르트랑 과일도!
민정	(표정)
순재	많이 먹어 많이. 자. (고기 집어주는)
준하	앙. (받아먹고) 아버지도 좀 드세요.
순재	야 난 너무 좋아서 그런지 고기가 넘어가질 않는다.
준하	그렇게 좋으세요?
순재	좋지 임마. 야... 니가 진짜 이렇게 대박을 쳐줄줄은 몰랐다 임마.
준하	노리고 있었어요 아버지.제가 잠만 퍼자는거 같아두요, 다 노리고 공부하고 있었다구요.
순재	그래 그래. 그랬겠지. 병건제약 참.. 듣도보도 못한 회사를 니가 그냥 알았을리도 없고..(준하 손을 잡고) 하여간 참.. 좋다 임마 좋아.
준하	아버지가 좋아하시니까 저두 좋아요.
순재	어떻게.. 이제 내일은 팔아야 되지 않겠냐..?
준하	아직은 때가 아니예요.
순재	아직두 아냐?
준하	다음주 월요일이 피크일꺼예요. 그때 던지면 돼요.그럼 뭐, 아버지 올 한해는 진료 안하고 푹 쉬셔도 실껄요.
순재	햐...(좋아 입 벌어지다) 야.. 이걸로 됐어..설마 내일까지..
순재	이 자식..이 자식.. (등을 때리고)
준하	아버지..아버지... (으스러질듯이 껴안고 있는)
민호	나흘 연속 상한가면..도대체 얼마를 버신거예요?
윤호	아빠 나 게임기 하나만 사주라.. 응? 게임기..
해미	여보.. 울어?
문희	당신 울어?
순재	(격정을 가라앉히며 쳐다보는) 하..
준하	(격정을 가라앉히며 쳐다보는) 하..
순재	야.. 우리 정말 오늘같은 날 그냥 넘어갈 수 없지 않냐?
준하	그냥 넘어갈 수 없죠.
순재	우리 정말 찐하게 한잔 하자.
준하	좋지요 아버지!
문희	뭐 양주 꺼내?
순재	됐어. 옷 입고 나와라. (하며 방으로 가고)
준하	네. (해미준하방으로 가고)
해미	아버님 좋은 일인데 저희도 같이 가면 안돼요?
순재	안돼. 이건 우리 둘이서만 축배를 들어야돼. 저놈하고할 얘기도 많고.
준하	그래. 이 기쁨은 아버지랑 나랑만 나눌 수 있는 기쁨이야.딴 사람은 우리 심정을 몰라. (하며 방으로 들어가는)
문희	아이구 아주 정말 되게 오바하네~
오중	서선생님!!
민정	아 네. (인사하는)
오중	생각 다 했죠? 우리 언제 데이트할까요? 오늘 끝나고?아님 내일?
민정	저기요 권코치님.
오중	아차차! 훈련!! 퇴근하고 봅시다! (손 흔들고 뛰어가는)
민정	저기요. (황당한) 하..저 사람 정말 안되겠네. 딱 부러지게 얘기해야지..
오중	어딨어 어딨어 어딨어?!!
민정	(기막힌) 뭐야 컬러링도 급해.. 하..
오중	(off) 여보세요!!
민정	아 저..서민정인데요.
오중	(급하게 찾았는지 머리 산발되고 체육복 입은 상반신만 보이는) 네 네 결정하셨습니까?!!
민정	저...네 제가요..
오중	어디 계세요? 지금 어디 계세요?
민정	네? 여기 3층 복도에..
오중	갑니다! 5초만 기다리세요! (끊고 튀어나간다)
민정	여보세요? 여보세요 권코치님!
민용	이 자식들이 이거..내가 담임 안하니까 아주 막 나가지.. 어? 이것들이..(몽둥이로 찌르는데)
승현	(놀라) 어..
찬성	(놀라) 어..
민용	뭐가 어야.. (하고 돌아보다 표정)
민정	어떡해.. 기다려야 되나..?
오중	서선생님!!
민정	(놀라 뒤로 물러나는)
오중	뭐 어떻게? 데이트 할까요? 언제요? 오늘 당장?
민정	아니 그게 아니라..(시선을 돌리며) 죄송하지만 전 권코치님 만날 생각이 없거든요.
오중	네? 거절? 지금 거절하는 거예요? 진짜? 왜 다시 생각해보지!나 제법 괜찮은 놈인데! 에?
민정	죄송합니다. 권코치님 좋은 분인건 아는데 제가 좋아하는 스타일이 아니시라서..
오중	(막 들이대며) 좋아하는 스타일이 뭔데요? 네? 뭔데요? 말해보세요!
민정	저기 왜 이러세요.. 정말.. 바지나 입으시고..
오중	네? (아래 내려다보고 표정)
민정	제발 이러지 마세요 왜 이러세요.
오중	아 씨. (후다닥 도망가는)
민용	완전 미친놈 아냐..?
민용	아, 이거보세요 권코치님. (오중 팔 잡고) 학교에서 바지를 벗고 다니면..
오중	(확 밀치며) 저 오늘부로 그만둡니다! 교감선생님한테얘기 좀 해줘요!
민용	네?
오중	(계단을 구르듯 세칸 네칸씩 뛰어 내려간다)
민용	(표정)
신지	(OFF) 에? 진짜?
신지	그래서 바로 전근 갔다구?
민정	어. 너무 쪽팔려서 못 참겠다고 오늘부로 그만두겠다그랬대.
신지	야 진짜 성질 급하네. 온지 며칠이나 됐다고.
민정	내가 너무 매정하게 거절했나봐. 마음 불편해 죽겠어.
신지	실연당하고 어디서 술 퍼먹고 있는거 아니야?야 그 사람은 성질이 그렇게 급하면 술도 이렇게 마실거 같은데.(물컵 들고 경망스럽게 벌컥벌컥 여러잔 마시는 흉내내는) 카. 카. 카. 카.
민정	야 설마.. (웃는데)
오중	사랑이 저만치 가네..나 홀로 남겨 놓고서.. (까지 부르는데 감정 찐하게 부르며 눈물 뚝 흐르는데, 답답한지 속도 높이는 버튼을 막 누르는) 세월아 멈춰져 버려라 내 님이 가지 못하게(점점 더 빠르게 누르는) 이제 이별의 시간이 다가오네 사랑이 떠나가네 나는 죽어도 너를 잊지는 못할꺼야~ (미친듯이 빠르게 부르는 모습에서)
점원	어 벌써 가시게요? 서비스 많이 남았는데요.
순재	(포장마차 발견하고) 어이 주식천재 이준하. 저기서 한잔 더 어떠냐?
준하	좋죠~~~
순재	오케이 가자.
준하	들어가세요. (하고 전화 받는)
순재	어. (들어가고)
준하	여보세요. 어 형석아. 야 나 진짜 너한테 뽀뽀라도 해주고 싶다. 니 정보 덕에 나 10년만에 울 아버지한테 아들 노릇 한번 제대로 하고 있다. 그래 하하하하. 야 작년에 잃었던 거 완전히만회하고 두배장사 했는데.. (하다 멈칫하는) 뭐...? 작전주...?
형석	(off) 아 씨 미안하다..나도 엄청 물렸어 지금. 미치고팔짝 뛰겠다.
순재	아줌마 여기 소주 두병이랑 조개탕이랑 오돌뼈 줘요.
아줌마	네.
순재	기특한 놈... (웃는)
준하	작전주라니...야 그게 무슨 소리야...신약개발 보도까지 나왔잖아..
형석	진작에 부작용 발견되서 임상실험도 중단했는데 그걸속이고 작전 들어간거래. 내일 관리종목으로 공시될 거란다.
준하	그럼 거래정지..
형석	거래정지 정도가 아니라 상장폐지야. 팔래야 팔수도없어 이제.
순재	얌마 적당히 끊고 와라. 안주 나왔다.
준하	아 네.. (표정)
순재	(도로 들어가고)
준하	어떡하냐.. 그럼... 어떡하냐... 울 아버지 어떡해...이자식아...(울 것 같은 표정) 하...(깊은 한숨 내쉰다)
순재	캬 좋다. 왜 안 마셔?
준하	에...(억지로 마시고)
순재	하.. 나 세상에 지난 일년 동안 오늘처럼 기분 좋았던적은 없는 거 같다.야 정말..정말 기분 좋다 준하야.
준하	(어색하게 웃는) 네..
순재	(준하 손 잡고) 우리 아들, 주식계의 마이더스의 손 이준하!(하고 주변 사람들한테) 이봐요들, 내가 우리 아들 덕에 아주 주식 대박이 났어요! 나 큰 돈 벌었다우!!
손님들	야~ 좋으시겠어요~~
순재	좋죠 그럼요. 아 너무 좋아요. (하더니) 아줌마 내 기분인데, 여기 손님들한테 조개탕 하나씩 다 돌리세요.
아줌마	아 네.
손님들	와~~ 영감님 최고~~우우우~ (박수치고)
준하	(표정) 아버지..
순재	야 기분이야 기분. 오늘같은 이 기분을 언제 또 맛 보냐? 설마 내일까지 상한가 치겠냐?
준하	(표정)
순재	내가 전문가는 아니래도 그 정도 감은 있어. 상한가는오늘이 끝.그러니까 내일 아침에 싹 팔아치우자. 간만에 벌었을때 빨리 현금으로 만들어야지 안 그럼 또 잃어.
준하	(울듯한 표정 off) 벌써 다 잃었어요 아버지....
순재	하...(또 술 마시며) 준하야...
준하	네...
순재	준하야...
준하	네...
순재	야...정말 오늘 밤이 안 갔으면 좋겠다. 이 기분..정말이 끝내주는 기분.. 인생 살면서 이런 기분 느끼는 순간이 얼마나되겠냐? 진짜 이 기분 이 상태로 시간이 멈춰버렸으면 좋겠다.
준하	저두요..
순재	너도 그렇지?
준하	네.. (울것처럼) 정말 이 밤이 끝나지 않았으면 좋겠어요..
준하          (표정. OFF) 아버지..정말 이 밤이 끝나지 않았으면 좋겠어요..
