68 회 ㅣ 2007-02-13
친구1	세상에 어쩜 이렇게 알이 크대?
순재	어. 좀 찾아봐.
민호	잠깐만요. (노트북 치는데)
순재	이 자식은 왜 초저녁부터 퍼질러 자? 어이구. (괜히 한번 차는데)
윤호	(꿍얼꿍얼하며 잠꼬대를 한다) 운동화가 다 떨어졌다니까.. 씨.. 아 씨..아무도 안 사줘....
순재	(?) 이거 왠 잠꼬대까지 해?
윤호	잠꼬대 했더니 할아버지가 사주셨다니까요.
준하	그게 무슨 소리야? 알아듣게 얘길 해봐.
윤호	아니 내가 어제 잠을 자면서 운동화가 다 떨어졌다고잠꼬대를 했대.난 기억도 안 나는데. 근데 할아버지가 그걸 듣고, 너무 불쌍하다고 돈을 주셨다니까. 운동화 사 신으라고.
준하	얌마 눈물로 호소를 해도 안 주시는 분이 잠꼬대 한다고 돈을 줘?
문희	니 할아버지가 할일도 없다. 무슨 딴 이유가 있겠지.너한테 뭐 부탁할 게 있다던지.
윤호	아니라니까요 진짜 잠꼬대해서 주신거라니까요~
민호	저 학교에 좀 갔다올께요.
윤호	어 야 야. 야 니가 설명 좀 해줘.
민호	뭘?
윤호	할아버지가 어제 내가 잠꼬대 해서 불쌍하다고 운동화 사준거 맞지?
민호	어.
민호	이 자식이 운이 엄청 좋았어요.잠꼬대를 막 하는데 할아버지가 마침 들어오신거야.그러더니..
윤호	(자면서 꿍얼꿍얼) 운동화 갖고 싶어.. 운동화...  새 운동화...
순재	(윤호 귀에 대고 듣다가) 쯧쯧쯧... 얼마나 운동화가 갖고 싶으면 자면서도 소원을 빌어.. 어이구.. (하더니) 야, 얘 깨면나한테 오라 그래. (나간다)
민호	진짜 그러시더라구요. (하고 나가는)
윤호	진짜라니까. 앞으로 뭐 사달랄꺼 있으면 잠꼬대 하세요 잠꼬대.잠꼬대가 짱이예요 짱. (하고 카메라쪽으로 사라지는)
준하	에이.. 운동화 정도야 몰라도 잠꼬대 한다고 사무실을내주실리는 없잖아.
문희	잠꼬대 한다고 진주반지 사줄리도 없고.
준하	아버지 지금 어디 가셨지?
문희	환갑잔치 갔는데.. 오실때 됐는데.
민호	유미야..
유미	왜?
민호	잠깐만.. (손짓하는)
민호	나 선물 있는데.
유미	(건성으로) 뭐? 뭔데?
민호	(주머니에서 꽃반지 꺼내는) 짠~
유미	이게 뭐야?
민호	(머리 긁으며) 우리 반 화분에 꽃이 폈길래..꽃반지 만들었어.
유미	(씩 웃더니) 꽃반지? 어디. (하고 손에 해보는) 괜찮네.
민호	(핸드폰 울리면) 여보세요? 어 그래. (끊고) 나 교실에좀 갔다 올게.
유미	그래.
유미	(OFF) 범아.
유미	꽃반지? 하하하.. (요염하게 범이에게로 오며) 쟨 어쩜 저렇게 유치해? 내가 이 나이에 꽃반지랑 어울린다고 생각해?어? (꽃반지 떨어뜨려 발로 밟는)
범	아..아뇨.
유미	그럼 넌 나랑 어울리는 게 뭐라고 생각해?
범	다이아몬드?
유미	(웃으며) 역시 범인 내 취향을 잘 알어.
유미	민호는 너무 어려. 그건 꼭 나이가 어리다는 말과는 달라.난 범이처럼 남자다운 애가 좋은데.
범	네?
유미	(핸드폰 오면) 잠깐만 (전화 받으면 유창한 영어로)그 돈은 그 쪽에서 준비하기로 한 거 아냐? 정말 이렇게 나오면 모든 계약은 없었던 걸로 하는 수 밖에 없어. (끊으면)
범	(놀라서) 누나..영어..영어..
유미	왜? 너 내가 진짜로 무식한 여잔 줄 알았어? 미국의 수도는 엘에이?국보1호는 청와대? 푸하. 내가 그런 여자로 보여?
범	아뇨. 전 처음부터 뭔가가 이상하다고 생각했어요.
유미	사실은 나라밖이 내 주무대지.
범	네 그럴 거 같애요~
유미	아 그래 참.. 내일 나.. 홍콩 가는데.. 어때. 너도 같이갈래?
범	네? 호.. 홍콩요?
유미	난.. 범이랑 같이 가고 싶은데..?
유미	(OFF) 야! 뭐해?
범	(눈 뜨며) 어?
유미	왜 그렇게 표정이 기분 나빠? 괜히 열 받는다.
범	내가 뭘요.. 아니 뭘.. (하고 손에 씨디 보면 원초적 본능 OST인.. 한숨 내쉰다)
민용	누가 왔잖아~ (하다 계속 초인종 울리자 애 뉘어놓고나가는)
순재	(OFF) 아무도 없어? 문 좀 열어.
민용	왜 문을 안 따?
문희	저리 가라니까 진짜!
준하	엄마~
문희	저리가 좀!
준하	아 씨.. (단 소파에 앉는)
문희	야 니가 거기 앉아서 졸면 이상하잖아. 다 표 나. 둘다 망할래?
준하	그럼 난 어디 가서 자?
문희	가 가. (손 내젓는)
준하	에이 씨. (투덜대며 순재방으로 뛰어가는)
순재	이거 왜 보조키까지 잠궈놓고 에이 씨.
민용	아버지 오셨어요?
순재	야 임마 있으면서 왜 문을 안따. 축구 시작하는데. (발로 차면서 들어간다)
민용	아!
순재	어 할망구 요란스럽게 자고 있네. 이러느라고 문을 안땄구만.
민용	(문희 보며 ??)
순재	(외투를 급하게 벗으며 티비를 켠다) 야 이거 좀 갖다걸어라. 시작했나.
민용	아직일껄요. (문희 돌아보며 외투를 갖고 가고)
민용	뭐해?
준하	(눈 뜨고) 아 씨 난 또. 왜 아버지 안 들어오셔?
민용	(옷장 열며) 축구 보시느라고. 안 들어오실거 같은데?
준하	뭐? 아 씨 이거봐. 소파가 명당인데 자릴 잘 못 잡았어.
민용	뭐하는거야 둘이 도대체?
준하	엄마한테 선수 뺏겨서 진짜.축구 하면 한시간은 꼼짝 안하실 거 아냐. 하..
유미	오늘은 여기서 헤어지자. 나 어디 좀 들렸다가 가야 돼서.
민호	무슨 소리야? 같이 가. 너 밤에 혼자 위험해.
유미	다 왔는데 뭐.
민호	어디 가는데?
유미	엄마 심부름. 마트에 들렀다 가야할 것 같아서.
민호	같이 가. 범아, 난 유미 데려다 주고 갈 테니까 너 먼저 들어가.
범	그래..
유미	뭐가 위험해? 혼자 갈 수 있다니까.
민호	절대 안돼 절대.
유미	(OFF) 김범.
범	(돌아보는) 누나?
범	민호는..?
유미	겨우 따돌렸어. 찰거머리 같은 녀석.
범	네?
유미	(범 입 확 막으며) 조용.
유미	가자. 우리 홍콩으로!!
범	네?!!
유미	우리 같이 가기로 했잖아 잊었어?
범	아... 네...!
유미	뛰어! (범이 손잡고 달리기 시작하는)
유미	(일어나며) 어때. 나랑 같이 홍콩에 오니까?
범	좋은데요. (씩 웃는)
유미	(범 어깨에 살짝 손을 올리고 홀리듯 웃어보이고는 물에 멋지게 뛰어드는)
민호	(OFF) 야 범아!
민호	여태 여기 있었어?
범	어? 그.. 그냥. 생각할 게 좀 있어서. 유민?
민호	집에 들어갔어.
범	어. (하는데 표정 있는)
문희	남들 다 갖고 있는걸... 이 박복한 팔자..
문희	(더 크게) 남들 다 갖고 있는걸.. 이 박복한 팔자.. 진주 반지 하나..
순재	(보다가 뭐가 생각난 듯 무릎을 치며 갑자기 순재방으로 가는)
문희	(모르고 중얼거리는) 진주 반지 하나 없이 이렇게 늙어 죽는거지 뭐...이렇게 살다 가는거야... (하다 눈 뜨면 아무도 없자 표정) 어디 갔어?
준하	이거봐.. 전반전 끝나고도 안 들어오시고.. 글렀어..터를 너무 잘못 잡았어...
순재	(옷장문을 열다가 코 골며 자는 준하 보고) 이 자식은왜 여기서 자빠져 자고 있어? (옷장의 코트 속을 뒤져 봉투 꺼내는)
준하	(중얼중얼 잠꼬대하는) 나도 효도 하고 싶은데.. 사무실만 있으면.. 좋을껄... 왜 나는...
순재	(?) 뭐라는거야..? (들여다보는)
준하	(더 열심히) 효도를 하고 싶어도.. 사무실이 없어서..
순재	(전화 받는) 아 박원장. 어 어 집에 들어왔어. 왜? 어?어? (나가는)
준하	(고개 드는) 아 씨.. 간만에 기회였는데. (뒹구는)
순재	아니 축구 좀 볼라구 빨리 왔지. 왜? 아 그래 그래. 알았어. 어 어...
문희	(중얼중얼) 남들 다 갖고 있는 걸.. 이 박복한 팔자.. 진주반지 하나..
순재	뭐라는거야..? 잠꼬대하나..? (들여다보는데)
순재	왜 그래? 왜 애를 울리냐?
민용	(OFF) 틈에 손가락이 끼었어요. (달래는) 괜찮아 괜찮아.
순재	아 거 참. 지 애도 못 보냐? (가면서 문희를 치는) 아일어나봐 애 울잖아!
문희	으으음.. (어쩔 수 없이 일어나는)
준하	(머리 긁적이며 방에서 나오는)
문희	뭐 좀 됐어?
준하	(테이블에 빵 집으며 고개 젓는) 엄마는?
문희	(고개 젓는) 이게 되겠냐 이게? 처음부터 이게 말이 안돼.
준하	그래 말이 안돼.. 무슨 잠꼬대로 소원 성취를 해..  에이 씨.
범	안녕하세요. 민호는요?
문희	민호 아직 안 왔다.
범	아직두요? (하면서 자연스럽게 준하 먹는 빵 뜯어가는)
준하	저... (노려보는)
윤호	야 오늘 니네 신랑이 좀 늦는다.
윤호	자식들. 요즘 사랑싸움 하냐? 하긴 유미랑 삼각이니까많이 복잡하겠다.민호 지키기 힘들지?
범	(윤호 한번 노려보고 노트북에 민호라고 쓰는 OFF) 그래. 유미는 민호여자친구야. 이러면 안돼. 안돼. 정신차려 범아.(타자를 마구 친다)
순재	야 범이, 니 할배 전화 받아라.
범	네? 네. (나가는)
윤호	자식이 노트북을 지꺼처럼 쓰고 있어.
윤호	(범이 나간 쪽 돌아보며) 저거 완전히..저거.. (구역질하는 시늉한다)
순재	수 없지?
민용	하 뭐야..
순재	어지간히도 못 두네 재미없게. 어떻게 그렇게 넌 늘질않냐?진짜 내가 발로 둬도 너보다는..
민용	네 제발 발로 둬보세요 좀. 저도 한번 이기게.(발가락에 바둑알을 끼우려는) 자 자.
순재	이 자식이. (발로 차며) 돌 던져. (일어나려는)
민용	잠깐만요..
문희	왜 왜? 아버지 내려와?
준하	몇분안으로 내려와.
문희	야 야 그럼 거기 내가 누워야지. 내 자리야.
준하	아 왜요~ 엄마 또 하게? 소용 없다며.
문희	아 그래도 노느니 해보는게 낫지. 일어나 얼른~
준하	아 엄마가 딴데로 가. 내가 먼저 자리 잡았어.
문희	너 아들이 엄마를 밀어내? 어? 거긴 원래 내자리잖아.빨리 가~
준하	엄마가 방에서 가서 누워요 글쎄.
문희	니가 가 글쎄~ (서로 밀어내려고 실랑이하는데)
순재	어째 바둑을 저렇게 못 둬 저 자식은.
문희	(실랑이하며) 나오잖아 빨리~
준하	(실랑이하며) 엄마가 가라니까.
문희	(순간 힘으로 준하를 확 밀어내며 자기가 눕는다)
준하	(굴러 떨어지고) 엄마 너무 치사하다 진짜..
순재	어라? 이 뚱땡이 모자가 왜 옹기종기 모여서 자고 있어?어이, 잘려면 들어가서 자 좀. 시끄럽게 그냥.
순재	하 저.. 뵈기 싫어.. 어떻게 왠종일 자.. 왠 종일..(소파에 앉아 신문을 보는데)
순재	뭐라는거야..?
순재	어이구 어이구. 아주 잠꼬대도 듀엣으로 하고 있구만?뭐라는거야..?
해미	아버님~
순재	어 왔냐?
해미	아버님 좀 나와보실래요? 누가 아버님 차 범퍼를 건드린 거 같은데.
순재	뭐? 어떤 놈이!! (뛰어나가는)
문희	너 왜 끼어들어서 그래! 이중으로 떠드니까 안들리잖아!
준하	엄마야 말로 진짜 그럴수가 있어 막 아들을 내동댕이를 치고!
문희	안방에 가서 하던지 서재에 가서 하던지 하라고~ 왜여기서 그러냐 너.여긴 내 구역이야 내 구역. 내가 딱 침 발라놨다고.
준하	엄마 진짜.. 야 엄마 진짜 너무하신다 진짜..야.. 엄마가 나한테 이럴 줄은 몰랐어.
문희	내가 뭘 뭘.
민용	왜 싸워요?
준하	에이. (머리 헝크는)
민용	아니 아까부터 둘이 뭐하는거냐고 도대체?잠꼬대했다 싸웠다 잠꼬대했다 싸웠다 뭐야?
문희	아유 그래 어차피 되지도 않아. 이게 말이 되는거냐?
준하	말도 안되지. 잠꼬대한다고 들어준다는게 이게..
문희	그러니까. 급하니까 내가 진짜 별 짓을 다하구. (벌렁눕고)
준하	진짜 윤호말만 믿고 뭐하는짓인지. (벌렁 눕고)
민용	나 원.. (화장실로 간다)
문희	너 이제 안할꺼야?
준하	안해. 하면서도 하는 내가 바보등신 같애. (하고) 엄마는?
문희	됐다 야. 애교 떠는 거 보다 더 씨도 안 먹히는 짓이야.
민호	범아~
범	어? 어.. 너 기다리다가 그냥 가는거야.
민호	정말? 금방 집에 갈꺼였는데. 이거 먹고 같이 가.
범	어? 어.
유미	여기 진짜 맛있어. 중독되겠다.
민호	내가 맛있다 그랬잖아~
범	(떡볶이 잡는다는 게 유미 옷에 떨어트리는)
유미	어.
범	어, 미안해요. (하다) 아니 미안해.
민호	너 이상하다. 왜 자꾸 유미한테 존대말을 써?
범	어? 그러니까.. 내가 말야.. 웃기지? 하하..
유미	아, 목 마르네.
민호	목말라?
유미	민호야 저기 편의점에서 콜라 좀 사다주면 안돼?
민호	알았어 잠깐만 기달려. (후다닥 달려가는)
유미	(민호 멀리 가면) 너 왜 그래?
범	뭐가....요?
유미	내가 분명히 얘기했지. 그냥 평소처럼 하라고. 너 내말 씹는 거야?
범	아니... 요. 그냥..난..
유미	너 똑바로 해. 점점 너 싫어질려고 그런다. 알겠어?
범	네..
유미	쪼그만 게 시키면 시키는대로 할 것이지.
범	(실망하는 표정 있는데) ...
유미	(핸드폰 오자 받는) 어 엄마? 어? 아 참 깜빡했다.지금 갈께. (끊는)
민호	유미야. (음료수 들고 오는데)
유미	고마워. (하고) 엄마가 빨리 오래. 나 갈께.
민호	그래. 유미야 안녕. 조심해서 가.
유미	(손 흔들고 가는)
민호	임마. (놀라 떡볶이 뺏으며) 정신 차려. 너 왜 그래?
민호	(휴지 집어 닦아주는) 다 묻었다.
민호	야, 니 자전거 타고 가자. 나 뒤에 타도 되지?
민호	야 안 힘들어? 천천히 달려.
범	민호야!!
민호	왜?
범	내 친구 이민호!!
민호	왜?
범	미안하다 민호야! 미안해!!!
민호	뭐라고?
범	민호야!!!
민호	(웃으며) 야 내 이름 닳겠다~ 그만 불러~~
윤호	미치겠네 아주 진짜.. 저것들.. 둘이 영화를 찍어요 어우..
해미	여보세요. 네 아버님. 수리하셨어요? 다행이네요.
해미	네 네. 그럼 지금 올라오세요? 네 네.
순재	어디 가냐?
해미	네. 병원에 자료를 놓고 와서.
순재	얘, 근데 이거 어떻게 소리 내는거야?
해미	어머 MP3네? 어디서 나셨어요?
순재	범이 할애비껀데 여기다 좋은 노래 많이 넣어놨다 그러던데 어떻게 듣는지를 알아야지?
해미	쉬워요 (작동해주는) 이거 누르시면 되는데.
순재	이거?
문희	(중얼중얼) 진주 반지 하나.... 소원.. 어이구... 흑진주반지.. 흑진주..
준하	(중얼중얼) 사무실.. 흑자... 효도도 해야 되는데.. 아이구 아버지...언제 효도.... (쩝쩝거리는데)
